Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15
Exporte hourly data for PV and electrical Energy;;;;;;;;;;;;;;
Name:;Irradiation horizontal;Irradiation vertical;Humidity, outside;Temperature, outside;El. Energy Heating/Cooling;El. Energy Heating/Cooling;El. Energy house;El. Energy house;PV generation;PV generation;From grid;From grid;To grid;To grid
Description:;102_ISP01_E1001_B001ME1;102_ISP01_E1001_B002ME1;102_ISP01_E1001_B003ME1;102_ISP01_E1001_B101ME1;102_ISP01_E1000_UMG96_MODBUS_26;102_ISP01_E1000_UMG96_MODBUS_26;OH_STWF_NSHV_180;OH_STWF_NSHV_180;OH_STWF_PV_280;OH_STWF_PV_280;OH_STWF_NETZ_180;OH_STWF_NETZ_180;OH_STWF_NETZ_280;OH_STWF_NETZ_280
Unit;Globalstrahlungsfuehler Horizontal;Globalstrahlungsfueler Vertikal;Elektro Feuchtefuehler;Elektro Aussentemperatur;ISP 01 Schaltschrank, Consumption heating;"ISP 01 Schaltschrank, tot. Consumption heating; cumulative";"NSHV (Haushaltstrom); consumption general electricity";"NSHV (Haushaltstrom); consumption general electricity; cumulative";PV power generated 280;"PV power generated 280; cumulative";Netz Bezug gesamt 180;"Netz Bezug gesamt 180; cumulative";Netz Einspeisung gesamt 280;"Netz Einspeisung gesamt 280; cumulative"
Day;W/m²;W/m²;RH%;°C;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh
01.01.2020 00:00:00;10,31891918;6,182158466;75,28762215;-0,402456694;0,166755354;41067,03129;1;1116500,7;0;101357,08;1,33;340437,57;0;91483,71
01.01.2020 01:00:00;10,31891921;6,182158483;80,02201262;-1,08269606;0,169690966;41067,20098;1,2;1116501,9;0;101357,08;1,32;340438,89;0;91483,71
01.01.2020 02:00:00;10,31891918;6,182158466;81,35365437;-0,889972418;0,163549015;41067,36453;1,2;1116503,1;0;101357,08;1,35;340440,24;0;91483,71
01.01.2020 03:00:00;10,02248966;6,04618163;82,05402763;-1,018735332;0,163930437;41067,52846;0,9;1116504;0;101357,08;1,35;340441,59;0;91483,71
01.01.2020 04:00:00;2,803804399;2,734858275;83,89865451;-1,792508725;0,135605664;41067,66406;1,2;1116505,2;0;101357,08;1,29;340442,88;0;91483,71
01.01.2020 05:00:00;2,803804391;2,734858267;83,89933769;-2,090385461;0,192938113;41067,857;0,9;1116506,1;0;101357,08;1,41;340444,29;0;91483,71
01.01.2020 06:00:00;2,803804391;2,734858267;84,62090262;-2,358395932;0,18325997;41068,04026;1,5;1116507,6;0;101357,08;2,37;340446,66;0;91483,71
01.01.2020 07:00:00;2,803804399;2,734858275;84,91796395;-2,359042912;1,210372851;41069,25063;1,2;1116508,8;0;101357,08;7,83;340454,49;0;91483,71
01.01.2020 08:00:00;2,803804391;32,8980494;84,91850654;-2,359367607;6,629926813;41075,88056;0,9;1116509,7;0,34;101357,42;7,26;340461,75;0;91483,71
01.01.2020 09:00:00;55,09953249;268,7771152;84,34706675;-1,794736236;6,624553393;41082,50511;0;1116509,7;2,9;101360,32;4,71;340466,46;0;91483,71
01.01.2020 10:00:00;121,5247068;409,3540393;84,48445387;-0,606395793;6,633470252;41089,13858;0;1116509,7;7,26;101367,58;1,35;340467,81;0,51;91484,22
01.01.2020 11:00:00;196,5859868;640,5014333;83,28714329;0,706312738;6,894599899;41096,03318;0;1116509,7;11,28;101378,86;0;340467,81;3,18;91487,4
01.01.2020 12:00:00;202,9540709;745,3371503;79,16960447;1,990637354;7,169709158;41103,20289;0;1116509,7;12,32;101391,18;0;340467,81;4,02;91491,42
01.01.2020 13:00:00;187,622126;717,2365534;76,60914292;2,780939642;7,332855153;41110,53575;0;1116509,7;10,04;101401,22;0,24;340468,05;1,56;91492,98
01.01.2020 14:00:00;119,5606207;479,4720352;74,75660991;3,000034568;7,4535695;41117,98932;0;1116509,7;5,02;101406,24;0,84;340468,89;0,99;91493,97
01.01.2020 15:00:00;51,10153169;113,9111046;74,26719034;2,947030996;3,624378224;41121,6137;0;1116509,7;1,28;101407,52;4,11;340473;0,12;91494,09
01.01.2020 16:00:00;16,7079182;38,56380088;76,4662834;1,777636785;4,334519474;41125,94822;0,9;1116510,6;0,14;101407,66;7,95;340480,95;0;91494,09
01.01.2020 17:00:00;16,70791815;38,56380077;78,61733462;0,932138606;6,999263049;41132,94748;1,2;1116511,8;0;101407,66;8,58;340489,53;0;91494,09
01.01.2020 18:00:00;16,70791815;38,56380077;80,44866592;0,303068427;7,406688325;41140,35417;1,2;1116513;0;101407,66;4,41;340493,94;0;91494,09
01.01.2020 19:00:00;16,7079182;38,56380088;81,52710051;-0,214746267;3,030679604;41143,38485;1,2;1116514,2;0;101407,66;1,53;340495,47;0;91494,09
01.01.2020 20:00:00;16,70791815;38,56380077;80,61275156;-0,441961884;0,176587781;41143,56143;1,5;1116515,7;0;101407,66;1,47;340496,94;0;91494,09
01.01.2020 21:00:00;16,70791815;38,56380077;80,62497435;-1,085365124;0,167291848;41143,72873;1,2;1116516,9;0;101407,66;1,41;340498,35;0;91494,09
01.01.2020 22:00:00;16,7079182;38,56380088;82,62757565;-1,574709299;0,168379425;41143,89711;0,9;1116517,8;0;101407,66;1,41;340499,76;0;91494,09
01.01.2020 23:00:00;16,70791815;38,56380077;83,58817942;-1,574709295;0,164872687;41144,06198;1,5;1116519,3;0;101407,66;1,47;340501,23;0;91494,09
02.01.2020 00:00:00;16,70791815;38,56380077;83,58819954;-1,574709295;0,162368495;41144,22435;0,9;1116520,2;0;101407,66;1,29;340502,52;0;91494,09
02.01.2020 01:00:00;16,7079182;38,56380088;83,52532375;-2,022731369;0,16557748;41144,38992;1,2;1116521,4;0;101407,66;1,35;340503,87;0;91494,09
02.01.2020 02:00:00;16,70791815;38,56380077;83,34442498;-2,199657524;0,16954556;41144,55947;0,9;1116522,3;0;101407,66;1,29;340505,16;0;91494,09
02.01.2020 03:00:00;16,16038464;37,15417415;84,76211103;-2,407198858;0,164150621;41144,72362;1,2;1116523,5;0;101407,66;1,29;340506,45;0;91494,09
02.01.2020 04:00:00;2,826786289;2,826786289;84,964602;-2,135735516;0,065442325;41144,78906;1,2;1116524,7;0;101407,66;1,38;340507,83;0;91494,09
02.01.2020 05:00:00;2,826786281;2,826786281;85,67919756;-2,029343083;0,268702547;41145,05777;1,2;1116525,9;0;101407,66;1,38;340509,21;0;91494,09
02.01.2020 06:00:00;2,826786281;2,826786281;84,82657615;-1,570819973;0,170265154;41145,22803;1,2;1116527,1;0;101407,66;1,5;340510,71;0;91494,09
02.01.2020 07:00:00;2,826786289;2,826786289;84,82653985;-1,570819977;0,228480896;41145,45651;1,2;1116528,3;0;101407,66;3,6;340514,31;0;91494,09
02.01.2020 08:00:00;2,826786281;2,826786281;84,82568733;-1,570819973;2,565624319;41148,02214;0,9;1116529,2;0,12;101407,78;8,37;340522,68;0;91494,09
02.01.2020 09:00:00;17,30156668;2,826786281;84,02091122;-1,068300192;7,614769342;41155,6369;0,3;1116529,5;1,58;101409,36;5,55;340528,23;0,39;91494,48
02.01.2020 10:00:00;80,65887709;39,00528744;83,47766683;-0,540682461;5,327512886;41160,96442;0;1116529,5;4,16;101413,52;0;340528,23;3,03;91497,51
02.01.2020 11:00:00;130,4252413;87,64156414;82,1810812;0,345693499;0,20252267;41161,16694;0;1116529,5;6,62;101420,14;0;340528,23;5,28;91502,79
02.01.2020 12:00:00;103,0053328;54,39840312;81,16543447;1,073154676;0,174845565;41161,34179;0;1116529,5;4,68;101424,82;0;340528,23;3,21;91506
02.01.2020 13:00:00;103,0053331;54,39840327;80,71579688;1,617664786;0,174787021;41161,51657;0;1116529,5;3,98;101428,8;0;340528,23;2,79;91508,79
02.01.2020 14:00:00;80,19574762;54,39840312;80,71967671;1,814782618;0,167262678;41161,68384;0;1116529,5;2,56;101431,36;0;340528,23;1,32;91510,11
02.01.2020 15:00:00;51,25055538;52,45030809;80,54779251;2,015545098;0,161103767;41161,84494;0,3;1116529,8;0,76;101432,12;0,51;340528,74;0,03;91510,14
02.01.2020 16:00:00;8,733160989;5,010076534;80,71368423;2,040359381;0,104935943;41161,94988;0,9;1116530,7;0;101432,12;1,26;340530;0;91510,14
02.01.2020 17:00:00;8,733160965;5,01007652;82,37566651;1,507257232;0,203868028;41162,15374;1,5;1116532,2;0;101432,12;1,56;340531,56;0;91510,14
02.01.2020 18:00:00;8,733160965;5,01007652;83,65266153;0,975009677;0,188259922;41162,342;0,9;1116533,1;0;101432,12;1,44;340533;0;91510,14
02.01.2020 19:00:00;8,733160989;5,010076534;84,27662445;0,90826757;0,169036482;41162,51104;1,5;1116534,6;0;101432,12;1,41;340534,41;0;91510,14
02.01.2020 20:00:00;8,733160965;5,01007652;84,82215111;0,023728803;0,168397357;41162,67944;1,2;1116535,8;0;101432,12;1,41;340535,82;0;91510,14
02.01.2020 21:00:00;8,733160965;5,01007652;85,65425867;-0,942961667;0,164604914;41162,84404;1,2;1116537;0;101432,12;1,5;340537,32;0;91510,14
02.01.2020 22:00:00;8,733160989;5,010076534;85,84900928;-1,342325571;0,162680756;41163,00672;1,2;1116538,2;0;101432,12;1,44;340538,76;0;91510,14
02.01.2020 23:00:00;8,733160965;5,01007652;85,84927742;-1,343501007;0,167515005;41163,17424;1,2;1116539,4;0;101432,12;1,38;340540,14;0;91510,14
03.01.2020 00:00:00;8,733160965;5,01007652;85,84927742;-1,344270228;0,165599835;41163,33984;1,2;1116540,6;0;101432,12;1,32;340541,46;0;91510,14
03.01.2020 01:00:00;8,733160989;5,010076534;85,39191297;-1,332665636;0,162557035;41163,50239;0,9;1116541,5;0;101432,12;1,41;340542,87;0;91510,14
03.01.2020 02:00:00;8,733160965;5,01007652;84,83108593;-0,895060062;0,163883418;41163,66628;1,2;1116542,7;0;101432,12;1,29;340544,16;0;91510,14
03.01.2020 03:00:00;8,498374281;4,922144829;84,69735469;-0,881079791;0,174539428;41163,84082;0,9;1116543,6;0;101432,12;1,26;340545,42;0;91510,14
03.01.2020 04:00:00;2,780822285;2,780822285;84,72342114;-0,44293356;0,163773796;41164,00459;1,2;1116544,8;0;101432,12;1,26;340546,68;0;91510,14
03.01.2020 05:00:00;2,780822278;2,780822278;84,72332655;0,040490528;0,136153687;41164,14074;1,2;1116546;0;101432,12;1,44;340548,12;0;91510,14
03.01.2020 06:00:00;2,780822278;2,780822278;84,71873848;0,647503271;0,214340914;41164,35509;1,5;1116547,5;0;101432,12;1,59;340549,71;0;91510,14
03.01.2020 07:00:00;2,780822285;2,780822285;84,71725919;0,672311903;0,273790376;41164,62888;1,2;1116548,7;0;101432,12;7,65;340557,36;0;91510,14
03.01.2020 08:00:00;2,780822278;2,780822278;83,8356409;0,672311901;6,562819367;41171,1917;0,6;1116549,3;0,36;101432,48;7,38;340564,74;0;91510,14
03.01.2020 09:00:00;35,59217725;10,58775771;83,70310966;1,052160863;6,774594904;41177,96629;0;1116549,3;2,36;101434,84;5,4;340570,14;0;91510,14
03.01.2020 10:00:00;122,3442462;227,4608405;82,73502946;1,633350713;6,747447682;41184,71374;0;1116549,3;6,96;101441,8;1,5;340571,64;0,51;91510,65
03.01.2020 11:00:00;178,4190823;362,5156018;82,61223905;2,999590493;6,747199305;41191,46094;0;1116549,3;9,3;101451,1;0,54;340572,18;2,07;91512,72
03.01.2020 12:00:00;155,2963779;171,4582577;79,86657085;4,74032426;6,753906255;41198,21484;0;1116549,3;7,54;101458,64;0,81;340572,99;0,6;91513,32
03.01.2020 13:00:00;103,0972673;85,96929221;75,29056188;6,031025799;6,764155663;41204,979;0;1116549,3;5,04;101463,68;2,91;340575,9;0;91513,32
